"sAMAccountName","Enabled","created","LastLogonDate","Company","department","homephone"
"133593","True","23/11/2016 16:01:09","30/01/2017 19:40:24","F01 - Usina","1111112 - PASTEURIZACAO","133593"
"104053","True","18/03/2015 18:40:56","30/01/2017 12:56:15","F01 - Usina","1111112 - PASTEURIZACAO","104053"
"135431","True","23/11/2016 22:20:40","27/01/2017 21:10:35","F01 - Usina","1111112 - PASTEURIZACAO","135431"
"104674","True","19/01/2017 11:31:16","23/01/2017 08:49:19","F01 - Usina","1112221 - DOCE DE LEITE POTES","104674"
"129635","True","04/05/2015 08:59:17","08/07/2015 16:22:41","F22 - Ivoti","1513303 - EXPEDICAO F22","129635"
"094655","True","18/03/2015 18:42:43","28/01/2017 12:38:51","F01 - Usina","1111112 - PASTEURIZACAO","94655"
"117542","False","18/03/2015 18:25:27","20/03/2015 14:25:29",,,
"120952","False","18/03/2015 18:27:36","31/07/2015 11:25:57",,,
"126063","False","18/03/2015 18:58:05","01/08/2015 05:28:10",,,
"124223","False","18/03/2015 19:10:59","20/03/2015 14:39:46",,,
"124647","False","18/03/2015 19:20:45","01/08/2015 05:46:29",,,
"035983","False","18/03/2015 19:23:13","20/03/2015 14:58:30",,,
"131796","False","15/09/2015 12:07:28","29/12/2016 08:39:41","F01 - Usina","1111105 - ALMOXARIFADO","131796"
"113461","False","18/03/2015 19:40:50","20/03/2015 15:14:09",,,
"131448","False","14/08/2015 15:23:23","02/10/2015 10:10:09",,,
"129034","False","27/07/2015 16:22:26","23/09/2015 11:26:56",,,
"101160","False","18/03/2015 17:39:49","04/09/2016 05:30:46",,,
"28899","False","24/03/2015 18:07:47","24/03/2015 18:16:35",,,
"130766","False","24/03/2016 17:07:35","28/04/2016 19:51:36",,,
"111611","False","25/03/2015 18:31:03","10/04/2016 00:13:16",,,
"135625","False","02/03/2016 16:44:10","28/03/2016 22:15:14",,,
"113303","False","18/03/2015 15:58:35","25/03/2015 18:36:05",,,
"006472","False","25/03/2015 20:10:10","03/08/2015 11:14:12",,,
"127001","False","16/08/2015 10:09:09","31/05/2016 04:24:41",,,
"104596","False","25/03/2015 20:35:54","03/11/2016 22:52:18",,,
"97329","False","30/07/2015 09:23:21","17/08/2015 08:00:27",,,
"126749","False","19/12/2014 14:26:38","31/03/2015 20:04:26",,,
"104928","False","18/03/2015 18:28:49","01/04/2015 14:57:06",,,
"080107","False","06/04/2016 11:39:37","22/04/2016 10:40:31",,,
"117541","False","06/04/2015 10:40:17","09/10/2015 03:53:41",,,
"131092","False","12/08/2015 10:07:33","06/07/2016 21:37:58",,,
"017429","False","18/03/2015 19:45:32","07/04/2015 03:01:40",,,
"129626","False","06/12/2015 22:01:24","20/03/2016 23:43:26",,,
"134246","False","24/03/2016 17:10:25",,,,
"109851","False","25/03/2015 20:22:13","27/04/2015 04:07:28",,,
"120979","False","18/03/2015 18:08:52","29/04/2015 02:07:30",,,
"125935","False","18/03/2015 17:48:54","04/11/2016 11:54:41",,,
"129163","False","28/04/2015 08:56:22",,,,
"014473","False","28/04/2015 08:53:30",,,,
"077272","False","30/07/2015 09:10:21","02/03/2016 20:18:42",,,
"122181","False","18/03/2015 14:38:32","10/05/2015 20:24:29",,,
"123060","False","29/07/2014 18:48:10","25/09/2014 18:54:04",,,
"116534","False","29/07/2014 18:56:09","31/10/2015 11:50:21",,,
"122672","False","29/07/2014 18:56:48","04/08/2014 16:25:30",,,
"122330","False","30/07/2014 08:16:11","07/08/2014 14:40:33",,,
"124376","False","08/09/2016 08:14:33","21/10/2016 18:39:47","F01 - Usina","1114403 - EXPED REFRIGERADOS","124376"
"121887","False","30/07/2014 08:54:41","16/09/2014 19:07:29",,,
"122234","False","30/07/2014 08:58:07","07/08/2014 15:09:57",,,
"134803","False","14/10/2016 09:50:22","17/12/2016 02:56:56","F01 - Usina","PCP INDUSTRIA","134803"
"119683","False","30/07/2014 08:58:47","07/10/2014 06:08:52",,,
"124366","False","08/08/2014 16:53:33","18/05/2015 16:40:04",,,
"118747","False","27/07/2015 16:27:41","26/09/2016 04:06:29",,,
"113870","False","30/07/2014 08:59:45","05/08/2014 10:01:49",,,
"128722","False","23/03/2015 20:13:35","19/05/2015 12:45:40",,,
"123288","False","30/07/2014 09:03:34","06/11/2014 01:35:10",,,
"111759","False","18/03/2015 18:51:08","24/08/2016 19:46:25",,,
"126838","False","07/08/2015 17:16:09","24/10/2015 11:34:27",,,
"120990","False","30/07/2014 09:07:38","10/10/2014 08:38:57",,,
"126944","False","19/12/2014 14:17:30",,,,
"140400","False","19/10/2016 08:22:32","22/11/2016 14:06:11","F01 - Usina","EXPED REFRIGERADOS","140400"
"121879","False","30/07/2014 09:12:09",,,,
"121878","False","30/07/2014 09:21:17","15/09/2014 14:13:18",,,
"121919","False","29/07/2014 19:02:07","27/05/2015 14:16:46",,,
"121972","False","30/07/2014 09:25:46",,,,
"134231","False","07/01/2016 14:46:31","19/08/2016 11:47:40",,,
"121862","False","30/07/2014 10:10:59","16/09/2014 19:33:47",,,
"123054","False","29/07/2014 18:51:20","02/02/2015 08:18:29",,,
"121890","False","30/07/2014 09:52:45","23/11/2014 22:32:06",,,
"121903","False","18/03/2015 18:13:11","03/08/2015 00:00:10",,,
"122674","False","30/07/2014 09:19:50","16/12/2014 14:19:06",,,
"121908","False","30/07/2014 08:47:27",,,,
"124927","False","15/09/2014 16:34:25","03/12/2014 07:47:23",,,
"119471","False","18/03/2015 17:24:23","12/06/2016 07:50:11",,,
"131014","False","03/11/2015 14:39:33","28/01/2016 12:19:50",,,
"130980","False","03/11/2015 14:41:00","15/03/2016 15:09:27",,,
"130655","False","08/07/2015 16:10:22","04/07/2016 17:22:53",,,
"128850","False","05/07/2015 08:33:09","06/08/2015 08:36:37",,,
"019318","False","25/03/2015 20:24:16","19/10/2015 04:52:49",,,
